intervention_id,order_id,merchant_id,intervention_type,action_owner,initiated_by,confidence_score,outcome,executed_at,completed_at
INT00001,ORD000518,M054,address_enrichment_outreach,delhivery,system,0.7462,rto,2025-11-07 11:40:52,2025-11-08 02:40:52
INT00002,ORD004659,M059,merchant_confirmation,merchant,merchant,0.6070,successful_delivery,2025-12-11 07:02:12,2025-12-12 04:02:12
INT00003,ORD001682,M095,merchant_confirmation,merchant,merchant,0.4610,successful_delivery,2025-10-16 12:33:26,2025-10-16 14:33:26
INT00004,ORD000942,M105,express_upgrade,delhivery,system,0.6103,pending,2025-12-21 14:32:51,
INT00005,ORD003858,M039,cod_to_prepaid,merchant,merchant,0.8245,successful_delivery,2025-10-15 07:01:19,2025-10-16 03:01:19
INT00006,ORD002891,M096,masked_calling,delhivery,system,0.9035,rto,2026-03-12 11:29:05,2026-03-14 18:29:05
INT00007,ORD004651,M103,verification,delhivery,system,1.0000,successful_delivery,2026-01-23 11:26:37,2026-01-24 20:26:37
INT00008,ORD003672,M057,merchant_confirmation,merchant,system,0.9548,successful_delivery,2025-12-05 08:27:10,2025-12-07 23:27:10
INT00009,ORD000352,M021,merchant_confirmation,merchant,merchant,0.5798,successful_delivery,2025-12-30 10:33:54,2026-01-01 21:33:54
INT00010,ORD000484,M104,verification,delhivery,system,0.5679,successful_delivery,2025-10-13 13:39:07,2025-10-14 15:39:07
INT00011,ORD001028,M118,cod_to_prepaid_outreach,delhivery,system,0.4630,pending,2025-10-31 09:46:52,
INT00012,ORD004721,M115,verification,delhivery,system,0.8237,successful_delivery,2026-02-06 19:16:53,2026-02-08 22:16:53
INT00013,ORD001640,M099,address_enrichment_outreach,delhivery,system,0.6117,rto,2025-11-19 13:13:45,2025-11-20 07:13:45
INT00014,ORD001069,M038,premium_courier,delhivery,system,0.4570,rto,2025-11-23 02:22:45,2025-11-25 19:22:45
INT00015,ORD001030,M099,verification,delhivery,system,0.6684,successful_delivery,2026-01-08 21:54:23,2026-01-10 10:54:23
INT00016,ORD000929,M023,cod_to_prepaid,merchant,system,0.5282,successful_delivery,2025-11-30 16:14:38,2025-12-01 23:14:38
INT00017,ORD000645,M028,premium_courier,delhivery,system,0.7008,successful_delivery,2025-12-26 02:29:08,2025-12-27 10:29:08
INT00018,ORD002993,M035,premium_courier,delhivery,system,0.7401,successful_delivery,2026-01-17 15:55:30,2026-01-17 21:55:30
