order_id,merchant_id,customer_ucid,category,price_band,payment_mode,origin_node,destination_pincode,destination_cluster,address_quality,rto_score,delivery_outcome,shipping_mode,created_at
ORD000001,M090,9296163854,fashion,500-1000,COD,WH0208,711826,west,0.8735,0.3858,delivered,surface,2025-10-31 18:25:52
ORD000002,M086,9480873543,beauty,0-500,prepaid,WH0199,147995,west,0.5666,0.2704,delivered,surface,2025-12-09 20:22:51
ORD000003,M026,9054312226,fashion,0-500,COD,WH0060,764426,north,0.6831,0.2185,delivered,surface,2025-12-27 23:50:43
ORD000004,M094,9198179469,fashion,500-1000,COD,WH0218,720280,north,0.8268,0.3390,delivered,surface,2026-02-20 06:51:54
ORD000005,M071,9501563370,home,1000-2000,prepaid,WH0166,726675,central,0.6980,0.3293,delivered,surface,2026-01-27 18:22:48
ORD000006,M061,9948509402,home,0-500,COD,WH0140,221353,central,0.7395,0.2757,delivered,surface,2026-03-11 09:27:24
ORD000007,M065,9828972691,beauty,0-500,COD,WH0151,492004,west,0.6202,0.1696,delivered,surface,2026-01-29 00:31:57
ORD000008,M071,9193392274,fashion,0-500,COD,WH0164,329967,north,0.7225,0.1855,pending,surface,2025-11-02 02:11:26
ORD000009,M040,9596027693,electronics,0-500,COD,WH0095,668799,south,0.6671,0.4878,delivered,surface,2026-01-19 19:12:09
ORD000010,M107,9210172748,fashion,0-500,COD,WH0250,688761,northeast,0.0035,0.7608,rto,surface,2026-03-11 16:51:33
ORD000011,M009,9431835795,fashion,0-500,prepaid,WH0022,853916,west,0.4852,0.2049,delivered,surface,2025-11-08 17:21:47
ORD000012,M088,9186661364,fashion,500-1000,prepaid,WH0203,391832,east,0.8140,0.3804,delivered,surface,2025-11-04 11:02:01
ORD000013,M077,9001215323,electronics,500-1000,COD,WH0179,309323,west,0.7238,0.3191,delivered,surface,2026-02-16 19:59:11
ORD000014,M094,9311447770,fashion,500-1000,COD,WH0217,836469,north,0.6731,0.1225,delivered,surface,2025-12-15 17:57:50
ORD000015,M074,9741049330,electronics,1000-2000,COD,WH0172,386077,west,0.7815,0.3885,delivered,surface,2025-10-01 10:06:53
